Step,Temp,E_pair,TotEng,Press
48600,4821.6039,-1763.1215,-1444.6452,-7600.7194
48700,4749.9603,-1744.9803,-1431.2362,-5945.2
48800,4725.0324,-1766.8069,-1454.7093,8858.7039
48900,4791.8684,-1761.3658,-1444.8537,-14111.389
49000,4877.2987,-1760.5471,-1438.3921,-14149.854
49100,5028.7053,-1748.1644,-1416.0087,-9015.5025
49200,5142.7505,-1770.3248,-1430.6362,1044.1982
49300,4772.7594,-1744.1768,-1428.9268,-14275.437
49400,4547.0822,-1756.4038,-1456.0602,3135.5036
49500,5023.197,-1726.2962,-1394.5043,-677.72325
49600,4930.2281,-1740.365,-1414.7139,-8451.7044
49700,4842.3585,-1750.4911,-1430.644,10177.238
49800,4933.1324,-1744.9105,-1419.0676,18534.145
49900,4887.5853,-1758.637,-1435.8025,13025.031
50000,4896.9646,-1748.7333,-1425.2794,15383.288
