Step,Temp,E_pair,TotEng,Press
11400,1198.9966,-2285.5498,-2206.3538,-3401.0204
11500,1180.9919,-2295.4541,-2217.4473,-4046.5446
11600,1183.5052,-2290.3823,-2212.2095,7356.4987
11700,1192.7299,-2281.2489,-2202.4668,-6706.0261
11800,1244.07,-2283.8989,-2201.7256,1989.6353
11900,1239.6919,-2285.8527,-2203.9687,887.16047
12000,1208.1297,-2284.6717,-2204.8724,-3151.7414
12100,1244.4646,-2283.4108,-2201.2115,865.90301
12200,1249.4445,-2280.3394,-2197.8112,-2916.7397
12300,1233.6423,-2280.6196,-2199.1351,5778.3543
12400,1192.5315,-2280.638,-2201.869,175.20414
12500,1239.0498,-2284.686,-2202.8444,-5236.5158
12600,1250.8524,-2281.2539,-2198.6327,10940.35
12700,1283.2546,-2273.5168,-2188.7554,-5026.3313
12800,1274.415,-2282.7707,-2198.5931,68.95766
12900,1280.3101,-2281.8284,-2197.2614,2885.5107
13000,1253.033,-2273.4282,-2190.6629,-1227.7855
13100,1305.9996,-2276.4603,-2190.1965,1605.7492
13200,1399.1134,-2270.0599,-2177.6458,1247.738
13300,1288.2623,-2279.4788,-2194.3866,-4146.2834
13400,1361.6635,-2277.4743,-2187.5338,4001.4935
13500,1287.2092,-2269.4457,-2184.423,-4373.4511
13600,1309.1492,-2267.186,-2180.7141,-2527.6443
13700,1329.6097,-2269.7243,-2181.9011,7647.7478
13800,1391.4449,-2271.1429,-2179.2353,-4570.1003
13900,1326.2284,-2274.9478,-2187.3479,873.31227
14000,1485.7425,-2266.0181,-2167.882,2519.0855
14100,1413.0955,-2262.9684,-2169.6307,-1401.1431
14200,1488.6132,-2275.3307,-2177.0049,-1834.0692
14300,1435.3095,-2275.0941,-2180.2892,105.54922
14400,1468.7951,-2267.0497,-2170.033,-2239.961
14500,1475.3018,-2259.9538,-2162.5073,-1518.3961
14600,1410.971,-2266.3748,-2173.1775,4183.3697
14700,1524.5018,-2259.4703,-2158.774,-176.70871
14800,1409.7621,-2273.1643,-2180.0468,689.59308
14900,1534.1127,-2263.7115,-2162.3804,-5613.9211
15000,1479.2988,-2252.8714,-2155.1608,3751.9145
15100,1528.0019,-2264.7029,-2163.7755,-7047.8263
15200,1467.0845,-2257.6943,-2160.7905,4176.2545
15300,1552.7263,-2267.1389,-2164.5784,3918.9121
15400,1501.1148,-2252.2005,-2153.049,-6198.5241
15500,1606.7877,-2258.3717,-2152.2402,6168.1083
15600,1539.407,-2262.669,-2160.9881,3418.4547
15700,1644.7245,-2259.952,-2151.3147,-3972.1932
15800,1401.8312,-2255.3254,-2162.7318,1425.5138
